Attrition,Business Travel,Department,Education Field,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Distance From Home,Education,Environment Satisfaction,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Relationship Satisfaction,Total Working Years,Years At Company,Years In Current Role,Years With Curr Manager
Yes,Travel_Frequently,R&D,Technical Degree,Male,Research Scientist,Single,No,2,26,3,High School,3,1,3102,0,22,3,7,6,4,4
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Married,No,1,22,11,Bachelor's Degree,1,2,2244,1,13,4,2,2,1,2
No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,2,36,2,Associates Degree,2,3,7596,1,13,2,10,10,9,0
Yes,Travel_Frequently,R&D,Technical Degree,Male,Research Scientist,Single,Yes,4,30,4,Bachelor's Degree,3,4,2285,9,23,3,3,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Divorced,No,2,37,14,Bachelor's Degree,4,1,3034,1,12,3,18,18,7,17
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,No,5,40,2,Associates Degree,4,2,5715,7,12,3,8,5,4,3
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Divorced,No,5,42,1,Master's Degree,2,1,2576,3,16,2,8,5,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Manufacturing Director,Single,Yes,2,37,10,Master's Degree,3,2,4197,2,12,4,18,1,0,1
No,Travel_Rarely,R&D,Life Sciences,Male,Research Director,Divorced,No,3,43,12,Bachelor's Degree,1,2,14336,1,11,3,25,25,10,9
No,Travel_Rarely,R&D,Medical,Female,Laboratory Technician,Married,No,3,40,2,Bachelor's Degree,2,3,3448,6,22,2,20,1,0,0
No,Travel_Rarely,R&D,Medical,Male,Research Director,Married,No,4,54,5,Associates Degree,1,1,19406,4,11,3,24,4,2,2
No,Non-Travel,Sales,Marketing,Female,Sales Executive,Married,No,3,34,4,Master's Degree,3,3,6538,9,15,1,6,3,2,2
No,Travel_Rarely,R&D,Medical,Female,Manufacturing Director,Married,No,5,31,7,Associates Degree,2,1,4306,1,12,2,13,13,10,12
No,Travel_Frequently,R&D,Medical,Male,Laboratory Technician,Married,No,1,43,21,Bachelor's Degree,4,4,2258,7,20,1,8,3,2,2
No,Travel_Rarely,R&D,Other,Female,Healthcare Representative,Divorced,Yes,3,43,8,Master's Degree,3,3,4522,4,14,4,8,5,2,2
No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Yes,3,25,4,Associates Degree,2,4,4487,1,11,2,5,5,4,3
No,Non-Travel,R&D,Medical,Female,Research Scientist,Married,Yes,2,37,25,Doctoral Degree,2,3,4449,3,15,1,15,13,11,7
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Married,No,3,31,1,Associates Degree,4,1,2218,1,12,3,4,4,2,2
No,Travel_Frequently,R&D,Life Sciences,Male,Manager,Divorced,Yes,3,39,1,High School,2,3,19197,1,14,3,21,21,8,6
No,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,No,0,56,6,Bachelor's Degree,3,1,13212,9,11,4,36,7,7,7
No,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Single,No,6,30,12,Bachelor's Degree,2,3,6577,0,11,2,6,5,4,4
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,2,41,1,Bachelor's Degree,2,1,8392,1,16,3,10,10,7,7
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Divorced,No,2,28,17,Associates Degree,3,1,4558,1,12,4,10,10,0,8
Yes,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Married,No,5,25,3,Bachelor's Degree,1,1,4031,5,13,3,6,2,2,2
No,Travel_Rarely,R&D,Medical,Male,Manufacturing Director,Married,Yes,4,52,3,Bachelor's Degree,4,3,7969,2,14,3,28,5,4,4
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Married,No,3,45,10,Associates Degree,1,4,2654,3,21,4,8,2,2,2
No,Travel_Rarely,R&D,Life Sciences,Female,Manager,Married,No,2,52,4,Associates Degree,4,4,16555,2,13,4,31,5,2,4
No,Travel_Frequently,R&D,Life Sciences,Female,Research Scientist,Divorced,No,3,42,29,Associates Degree,1,3,4556,2,11,2,19,5,4,2
No,Travel_Rarely,R&D,Life Sciences,Female,Manufacturing Director,Single,No,2,30,2,Bachelor's Degree,3,4,6091,2,20,3,11,5,4,2
No,Travel_Rarely,R&D,Life Sciences,Female,Manager,Married,No,5,60,7,Bachelor's Degree,1,1,19566,5,11,4,33,29,8,10
No,Travel_Rarely,R&D,Medical,Female,Manufacturing Director,Divorced,No,5,46,18,Bachelor's Degree,3,3,4810,2,14,3,19,10,7,8
No,Travel_Frequently,R&D,Technical Degree,Female,Healthcare Representative,Married,No,4,42,28,Master's Degree,4,4,4523,0,11,4,7,6,5,4
Yes,Travel_Rarely,Sales,Technical Degree,Female,Sales Representative,Single,Yes,4,24,1,High School,1,2,3202,1,16,2,6,5,3,4
Yes,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Divorced,No,3,34,6,Associates Degree,4,3,2351,0,16,4,3,2,2,0
No,Travel_Frequently,R&D,Life Sciences,Male,Laboratory Technician,Married,Yes,3,38,2,Associates Degree,4,4,1702,1,23,3,1,1,0,0
No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,No,2,40,2,Master's Degree,3,3,18041,0,14,4,21,20,15,12
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Divorced,No,3,26,23,Bachelor's Degree,1,4,2886,1,22,2,3,3,2,2
No,Non-Travel,R&D,Life Sciences,Male,Laboratory Technician,Married,No,3,30,3,Bachelor's Degree,3,4,2097,4,15,3,9,5,3,4
No,Travel_Rarely,R&D,Medical,Male,Research Director,Married,No,2,29,3,Master's Degree,2,3,11935,1,18,3,10,10,2,7
Yes,Travel_Rarely,R&D,Technical Degree,Female,Research Scientist,Married,No,2,29,25,Doctoral Degree,3,2,2546,5,16,2,6,2,2,1
Yes,Travel_Rarely,HR,Technical Degree,Male,Human Resources,Single,No,3,19,2,Associates Degree,1,4,2564,1,12,3,1,1,0,0
No,Non-Travel,Sales,Other,Female,Sales Executive,Married,No,3,30,22,Master's Degree,3,1,8412,0,11,3,10,9,8,8
No,Travel_Rarely,Sales,Marketing,Male,Manager,Divorced,No,3,57,29,Bachelor's Degree,1,4,14118,3,12,3,32,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Male,Manager,Married,No,2,50,29,Master's Degree,2,3,17046,0,15,2,28,27,10,7
No,Non-Travel,R&D,Medical,Female,Laboratory Technician,Single,No,2,30,2,Bachelor's Degree,3,4,2564,0,14,3,12,11,7,7
No,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married,No,5,60,28,Bachelor's Degree,3,1,10266,4,19,4,22,18,13,11
No,Travel_Rarely,R&D,Medical,Female,Manufacturing Director,Divorced,No,2,47,2,Associates Degree,1,4,5070,5,13,3,20,5,0,4
No,Travel_Rarely,R&D,Life Sciences,Male,Research Director,Married,No,2,46,2,Bachelor's Degree,1,3,17861,6,13,3,26,3,2,1
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Single,No,2,35,22,Bachelor's Degree,4,3,4230,0,15,3,6,5,4,3
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Single,No,3,54,8,Master's Degree,3,3,3780,7,11,3,19,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Divorced,No,3,34,2,Master's Degree,4,3,2768,3,12,3,14,7,3,7
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Yes,3,46,10,Bachelor's Degree,3,4,9071,2,19,3,15,3,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Manufacturing Director,Divorced,No,6,31,9,High School,3,2,10648,1,25,4,13,13,8,8
Yes,Travel_Rarely,R&D,Medical,Male,Manager,Married,Yes,2,33,15,High School,2,3,13610,7,12,4,15,7,6,7
Yes,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Divorced,No,2,33,10,High School,1,4,3408,7,13,1,8,4,3,3
No,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Single,No,3,30,7,High School,4,2,2983,0,14,1,4,3,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Healthcare Representative,Married,Yes,2,35,16,Bachelor's Degree,4,3,7632,4,12,3,10,8,7,0
Yes,Travel_Frequently,R&D,Life Sciences,Male,Healthcare Representative,Married,No,2,31,20,Bachelor's Degree,1,3,9824,3,12,1,12,1,0,0
Yes,Travel_Frequently,HR,Human Resources,Female,Human Resources,Divorced,Yes,2,34,23,Bachelor's Degree,2,1,9950,9,15,3,11,3,2,2
No,Travel_Frequently,R&D,Other,Male,Laboratory Technician,Married,No,4,42,5,Associates Degree,2,3,2093,4,17,4,8,2,2,0
No,Non-Travel,Sales,Medical,Male,Sales Executive,Single,No,3,36,10,Master's Degree,2,4,9980,1,14,4,10,10,3,7
Yes,Travel_Frequently,R&D,Technical Degree,Male,Laboratory Technician,Single,No,3,22,4,High School,3,3,3894,5,16,3,4,2,2,2
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,2,48,2,Doctoral Degree,2,4,4051,2,14,1,14,9,7,7
No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Single,No,2,55,18,Doctoral Degree,1,2,16835,3,23,4,37,10,9,7
No,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Single,No,3,41,10,Associates Degree,4,4,6230,7,14,4,16,14,3,10
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,2,35,1,Bachelor's Degree,2,3,4717,9,11,3,15,11,9,9
No,Travel_Rarely,R&D,Life Sciences,Female,Manufacturing Director,Single,No,3,40,6,Bachelor's Degree,2,3,13237,7,15,3,22,20,6,13
No,Travel_Frequently,R&D,Life Sciences,Female,Laboratory Technician,Married,No,3,39,8,High School,3,3,3755,1,11,1,8,8,3,7
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Yes,2,31,2,High School,2,4,6582,4,13,3,10,6,5,5
No,Travel_Rarely,R&D,Medical,Male,Manufacturing Director,Married,Yes,5,42,24,Bachelor's Degree,4,1,7406,1,21,4,10,10,9,8
No,Travel_Rarely,Sales,Other,Male,Sales Executive,Married,No,3,45,2,Bachelor's Degree,4,2,4805,0,19,2,9,8,7,7
Yes,Travel_Frequently,HR,Life Sciences,Female,Human Resources,Divorced,Yes,2,26,17,Master's Degree,2,3,2741,0,11,2,8,7,7,0
No,Travel_Rarely,R&D,Technical Degree,Male,Manufacturing Director,Divorced,No,2,29,19,Bachelor's Degree,4,4,4262,4,12,2,8,3,2,2
No,Travel_Rarely,R&D,Medical,Female,Research Director,Divorced,No,2,33,1,Doctoral Degree,1,3,16184,4,19,3,10,6,1,5
No,Travel_Rarely,Sales,Life Sciences,Male,Manager,Divorced,No,3,31,7,Bachelor's Degree,3,4,11557,9,21,3,10,5,4,1
Yes,Travel_Frequently,Sales,Marketing,Male,Sales Representative,Single,Yes,3,18,5,Bachelor's Degree,2,2,1878,1,14,4,0,0,0,0
No,Non-Travel,Sales,Other,Male,Sales Executive,Divorced,No,2,40,28,Bachelor's Degree,3,1,10932,3,15,3,20,1,0,1
No,Non-Travel,R&D,Other,Female,Healthcare Representative,Single,Yes,3,41,2,Master's Degree,1,3,6811,2,17,1,10,8,7,7
No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Divorced,No,5,26,29,Associates Degree,1,3,4306,5,12,1,8,0,0,0
No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Single,No,3,35,1,Bachelor's Degree,1,3,4859,1,16,4,5,5,4,3
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,No,3,34,21,Master's Degree,4,4,5337,1,12,4,10,10,7,7
Yes,Travel_Rarely,R&D,Technical Degree,Male,Laboratory Technician,Single,Yes,3,26,24,Bachelor's Degree,3,4,2340,1,18,2,1,1,0,0
No,Travel_Rarely,R&D,Technical Degree,Female,Manufacturing Director,Single,No,3,37,1,Bachelor's Degree,2,4,7491,4,17,4,12,6,5,2
No,Travel_Frequently,R&D,Medical,Female,Healthcare Representative,Married,No,3,46,18,High School,1,3,10527,5,11,4,28,2,2,2
No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,No,2,41,2,Doctoral Degree,2,1,16595,7,16,2,22,18,16,8
No,Non-Travel,Sales,Medical,Male,Sales Executive,Divorced,No,6,37,9,Master's Degree,1,2,8834,1,13,4,9,9,5,7
No,Travel_Rarely,R&D,Technical Degree,Male,Research Scientist,Divorced,Yes,3,52,6,Associates Degree,4,1,5577,3,12,2,18,10,9,9
Yes,Non-Travel,Sales,Other,Male,Sales Executive,Married,No,2,32,11,Master's Degree,4,3,4707,8,12,4,6,4,2,2
No,Travel_Frequently,Sales,Medical,Male,Sales Representative,Married,No,3,24,24,Bachelor's Degree,4,4,2400,0,13,3,3,2,2,1
No,Travel_Rarely,R&D,Medical,Female,Healthcare Representative,Married,No,4,38,10,Bachelor's Degree,3,3,9824,3,19,3,18,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Female,Manufacturing Director,Married,No,2,37,1,Master's Degree,2,2,6447,6,12,2,8,6,5,3
No,Travel_Rarely,R&D,Life Sciences,Male,Research Director,Divorced,Yes,5,49,18,Master's Degree,4,3,19502,1,17,3,31,31,9,9
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,Yes,3,24,23,Bachelor's Degree,2,4,2725,1,11,2,6,6,5,4
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,5,26,28,Associates Degree,1,2,6272,1,20,4,6,5,3,4
No,Travel_Rarely,R&D,Other,Male,Laboratory Technician,Married,No,2,24,17,Associates Degree,4,2,2127,1,21,4,1,1,0,0
No,Travel_Frequently,HR,Medical,Male,Manager,Married,No,2,50,3,Bachelor's Degree,1,2,18200,1,11,3,32,32,5,7
No,Travel_Rarely,Sales,Medical,Male,Sales Representative,Married,No,1,25,13,High School,2,3,2096,1,11,3,7,7,4,6
Yes,Travel_Frequently,R&D,Life Sciences,Female,Laboratory Technician,Married,Yes,4,24,7,Bachelor's Degree,1,3,2886,1,16,4,6,6,3,2
Yes,Travel_Frequently,Sales,Life Sciences,Male,Sales Representative,Married,No,2,30,12,Master's Degree,2,1,2033,1,18,3,1,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Married,Yes,3,34,1,Associates Degree,2,4,3622,1,13,4,6,6,5,3
Yes,Travel_Rarely,Sales,Medical,Male,Sales Executive,Divorced,No,2,31,13,Master's Degree,2,1,4233,2,17,3,9,3,1,2
No,Travel_Rarely,R&D,Other,Male,Laboratory Technician,Single,No,3,35,25,Associates Degree,1,4,3681,4,14,4,9,3,2,2
No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Divorced,No,4,31,6,Master's Degree,1,4,5460,4,22,4,13,7,7,7
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Divorced,No,5,27,6,Master's Degree,1,3,2187,0,12,3,6,5,3,3
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,Yes,3,37,2,Bachelor's Degree,4,3,9602,4,11,3,17,3,0,0
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Single,No,0,20,1,Bachelor's Degree,4,2,2836,1,13,4,1,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Female,Healthcare Representative,Married,No,4,42,2,Master's Degree,3,4,4089,1,13,2,10,10,2,2
No,Travel_Rarely,R&D,Other,Male,Research Director,Divorced,Yes,3,43,6,Master's Degree,2,4,16627,4,14,3,21,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Single,No,3,38,1,High School,3,1,2619,3,17,4,8,0,0,0
No,Travel_Frequently,R&D,Medical,Male,Laboratory Technician,Divorced,Yes,3,43,9,Doctoral Degree,4,3,5679,3,13,2,10,8,7,7
No,Travel_Rarely,R&D,Life Sciences,Female,Manager,Married,No,3,48,1,Master's Degree,4,1,15402,7,11,1,21,3,2,2
No,Travel_Rarely,HR,Life Sciences,Female,Human Resources,Single,No,1,44,1,Master's Degree,1,3,5985,4,11,2,10,2,2,2
No,Travel_Rarely,Sales,Technical Degree,Female,Sales Representative,Divorced,Yes,3,34,14,Bachelor's Degree,3,3,2579,1,18,4,8,8,2,6
Yes,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Divorced,No,3,27,2,High School,3,1,3041,0,11,2,5,4,3,2
No,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Single,No,2,21,22,High School,3,3,3447,1,11,3,3,3,2,2
No,Travel_Rarely,R&D,Other,Male,Manager,Married,Yes,2,44,3,Master's Degree,4,4,19513,4,12,1,26,2,2,1
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,No,3,22,6,High School,1,3,2773,0,20,4,3,2,2,2
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,3,33,8,Master's Degree,3,3,7104,0,12,4,6,5,0,2
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Married,Yes,2,32,9,Master's Degree,1,4,6322,1,12,4,6,6,4,5
No,Travel_Frequently,R&D,Medical,Female,Research Scientist,Divorced,No,2,30,3,Bachelor's Degree,3,3,2083,1,20,3,1,1,0,0
No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Single,No,2,53,1,High School,4,1,8381,7,20,4,18,14,7,10
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Married,No,4,34,1,Doctoral Degree,2,4,2691,1,12,4,10,10,9,8
Yes,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,No,4,45,26,Master's Degree,1,1,4286,2,14,4,5,1,1,0
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Married,Yes,2,26,6,Bachelor's Degree,3,4,2659,1,13,3,3,3,2,2
No,Travel_Rarely,R&D,Other,Male,Manufacturing Director,Married,No,2,37,3,Bachelor's Degree,3,3,9434,1,15,3,10,10,7,8
No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Married,No,5,29,3,Associates Degree,2,3,5561,1,14,1,6,6,0,2
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Single,No,3,35,6,Master's Degree,2,4,6646,1,13,2,17,17,11,8
No,Travel_Frequently,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,2,33,6,Bachelor's Degree,3,4,7725,3,23,3,15,13,11,7
No,Travel_Rarely,HR,Medical,Male,Human Resources,Married,No,1,54,19,Master's Degree,3,2,10725,2,15,3,16,9,7,1
No,Travel_Rarely,R&D,Medical,Male,Manufacturing Director,Divorced,Yes,2,36,9,Associates Degree,2,2,8847,2,11,3,13,3,2,2
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Single,No,0,27,3,Master's Degree,1,4,2045,0,13,4,5,4,2,1
Yes,Travel_Rarely,R&D,Medical,Male,Research Scientist,Single,Yes,5,20,10,High School,4,3,1009,1,11,4,1,1,0,1
Yes,Travel_Frequently,R&D,Life Sciences,Male,Research Scientist,Single,Yes,3,33,3,Bachelor's Degree,1,1,3348,1,11,1,10,10,8,7
No,Non-Travel,R&D,Life Sciences,Male,Laboratory Technician,Married,No,3,35,3,Bachelor's Degree,3,3,1281,1,18,3,1,1,0,0
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,No,3,23,4,Bachelor's Degree,1,1,2819,2,16,1,5,3,2,2
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,4,25,8,Bachelor's Degree,4,2,4851,0,22,3,4,3,2,2
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Single,No,2,38,7,Master's Degree,4,4,4028,0,20,1,8,7,7,5
No,Travel_Frequently,R&D,Life Sciences,Male,Research Scientist,Divorced,No,5,29,1,Master's Degree,2,4,2720,1,18,4,10,10,7,8
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,3,48,2,High School,2,2,8120,3,12,4,12,2,2,2
No,Travel_Frequently,Sales,Medical,Female,Sales Executive,Divorced,Yes,3,27,3,High School,4,4,4647,1,20,2,6,6,5,4
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Single,No,2,37,10,Associates Degree,4,4,4680,3,17,1,4,1,0,0
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Married,Yes,3,50,28,High School,4,3,3221,1,11,3,20,20,8,8
No,Travel_Rarely,R&D,Medical,Female,Healthcare Representative,Single,No,3,34,9,Bachelor's Degree,4,2,8621,1,14,2,9,8,7,7
Yes,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,No,3,24,3,Associates Degree,1,3,4577,9,14,1,4,2,2,0
No,Travel_Rarely,R&D,Technical Degree,Female,Healthcare Representative,Single,No,4,39,2,Master's Degree,4,3,4553,1,11,1,20,20,7,10
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,No,2,32,10,Bachelor's Degree,4,4,5396,1,12,4,10,10,7,8
Yes,Travel_Frequently,Sales,Technical Degree,Male,Sales Executive,Married,Yes,4,50,8,Associates Degree,2,3,6796,3,14,1,18,4,3,3
No,Travel_Rarely,R&D,Life Sciences,Female,Healthcare Representative,Single,No,4,38,1,Master's Degree,2,4,7625,0,13,3,10,9,7,8
No,Travel_Rarely,R&D,Life Sciences,Female,Manufacturing Director,Married,No,3,27,1,Associates Degree,3,1,7412,1,11,4,9,9,7,7
No,Travel_Rarely,R&D,Life Sciences,Female,Research Director,Single,No,6,32,3,Associates Degree,3,4,11159,3,15,4,10,7,7,7
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,No,2,47,14,Master's Degree,4,1,4960,2,12,4,20,7,7,7
No,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,Yes,2,40,5,Master's Degree,4,1,10475,5,21,3,20,18,13,12
No,Travel_Rarely,R&D,Life Sciences,Male,Research Director,Married,No,3,53,7,Bachelor's Degree,3,3,14814,3,19,3,32,5,1,3
No,Travel_Rarely,HR,Human Resources,Male,Manager,Divorced,No,2,41,10,Master's Degree,2,4,19141,3,15,2,23,21,6,6
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,No,1,60,16,Master's Degree,1,1,5405,8,14,4,10,2,2,2
No,Travel_Frequently,R&D,Life Sciences,Male,Manufacturing Director,Divorced,No,4,27,10,Associates Degree,4,1,8793,1,21,3,9,9,7,7
No,Travel_Rarely,HR,Human Resources,Male,Manager,Married,No,3,41,1,Bachelor's Degree,4,3,19189,1,12,2,22,22,7,10
No,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,No,2,50,8,Master's Degree,4,2,3875,7,15,4,4,2,2,2
Yes,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Single,Yes,4,28,1,Associates Degree,1,2,2216,7,13,4,10,7,7,7
No,Non-Travel,R&D,Life Sciences,Female,Research Director,Married,No,2,36,8,Bachelor's Degree,1,1,11713,9,14,1,10,8,7,5
No,Travel_Rarely,R&D,Life Sciences,Female,Manufacturing Director,Single,Yes,4,38,1,Bachelor's Degree,3,3,7861,4,14,4,10,1,0,0
No,Non-Travel,R&D,Medical,Male,Laboratory Technician,Single,No,5,44,24,Bachelor's Degree,1,3,3708,2,14,3,9,5,2,4
No,Travel_Frequently,Sales,Medical,Female,Sales Executive,Divorced,Yes,2,47,3,Bachelor's Degree,4,3,13770,9,12,4,28,22,2,13
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,2,30,27,Doctoral Degree,3,4,5304,7,23,4,10,8,7,7
No,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Single,No,6,29,10,Bachelor's Degree,3,3,2642,1,11,3,1,1,0,0
Yes,Travel_Frequently,R&D,Medical,Male,Research Scientist,Divorced,Yes,2,42,19,Bachelor's Degree,3,3,2759,6,12,4,7,2,2,2
No,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,No,5,43,15,Bachelor's Degree,4,4,6804,3,18,3,7,2,2,2
No,Travel_Rarely,R&D,Medical,Female,Healthcare Representative,Single,No,2,34,8,Associates Degree,2,3,6142,3,11,4,10,5,1,3
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Married,No,2,23,9,High School,2,1,2500,1,14,4,5,4,3,2
No,Travel_Rarely,HR,Human Resources,Female,Human Resources,Married,No,3,39,3,Bachelor's Degree,3,2,6389,9,15,3,12,8,3,6
No,Travel_Rarely,R&D,Medical,Male,Healthcare Representative,Married,No,1,56,9,Bachelor's Degree,3,4,11103,7,11,3,30,10,7,1
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Single,Yes,2,40,2,High School,4,4,2342,0,20,4,5,4,2,3
No,Travel_Rarely,R&D,Medical,Female,Healthcare Representative,Single,No,2,27,7,Bachelor's Degree,4,1,6811,8,19,1,9,7,6,7
No,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Divorced,No,2,29,10,Bachelor's Degree,4,2,2297,1,14,4,2,2,2,2
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Single,No,4,53,6,Bachelor's Degree,4,4,2450,2,17,4,19,2,2,2
No,Non-Travel,R&D,Life Sciences,Female,Healthcare Representative,Divorced,No,2,35,2,Master's Degree,4,1,5093,2,11,1,16,1,0,0
No,Travel_Frequently,R&D,Life Sciences,Male,Laboratory Technician,Married,No,2,32,24,Master's Degree,1,4,5309,1,15,4,10,10,8,7
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,Yes,0,38,2,Doctoral Degree,4,3,3057,6,13,2,6,1,0,1
No,Travel_Rarely,R&D,Life Sciences,Female,Manufacturing Director,Divorced,No,3,34,8,Doctoral Degree,2,1,5121,3,14,3,7,0,0,0
No,Travel_Rarely,Sales,Marketing,Male,Manager,Married,No,3,52,3,Master's Degree,3,1,16856,1,11,1,34,34,6,16
Yes,Travel_Rarely,R&D,Other,Male,Research Scientist,Single,Yes,2,33,1,Master's Degree,4,4,2686,1,13,3,10,10,9,8
No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Single,No,5,25,26,High School,3,4,6180,1,23,2,6,6,5,4
No,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Single,No,3,45,2,Associates Degree,2,3,6632,0,13,1,9,8,7,1
No,Travel_Rarely,R&D,Medical,Male,Research Scientist,Single,No,3,23,10,High School,1,3,3505,1,18,4,2,2,2,2
Yes,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,Yes,2,47,27,Associates Degree,2,3,6397,4,12,4,8,5,4,3
No,Travel_Rarely,Sales,Other,Male,Sales Executive,Single,No,5,34,2,Bachelor's Degree,4,4,6274,1,22,3,6,6,5,4
Yes,Travel_Rarely,R&D,Medical,Male,Manager,Married,Yes,2,55,2,Bachelor's Degree,4,1,19859,5,13,4,24,5,2,4
No,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Single,No,1,36,8,Master's Degree,1,1,7587,1,15,2,10,10,7,9
No,Non-Travel,R&D,Medical,Male,Research Scientist,Married,No,3,52,19,Master's Degree,4,4,4258,0,18,1,5,4,3,2
No,Travel_Frequently,R&D,Life Sciences,Female,Laboratory Technician,Divorced,No,2,26,1,Associates Degree,1,4,4364,3,14,1,5,2,2,0
No,Travel_Rarely,R&D,Medical,Female,Healthcare Representative,Married,No,3,29,27,Bachelor's Degree,2,3,4335,4,12,1,11,8,7,1
Yes,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Single,No,2,26,8,Bachelor's Degree,4,1,5326,6,17,3,6,4,3,2
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Single,No,2,34,1,Master's Degree,2,4,3280,2,16,3,10,4,2,3
